[28, 94, 291, 883, 2659, 7987]
[16, 54, 168, 510, 1536, 4614]
[266, 535, 1073, 2150, 4303, 8609]
[27, 82, 247, 742, 2227, 6682]
[5, 22, 74, 229, 694, 2089]
[14, 50, 158, 482, 1454, 4370]
[172, 348, 700, 1403, 2810, 5624]
[339, 684, 1374, 2754, 5514, 11034]
[1, 5, 17, 53, 161, 485]
[929, 1863, 3731, 7467, 14939, 29883]
[396, 799, 1605, 3217, 6441, 12889]
[853, 1713, 3433, 6873, 13753, 27513]
[6, 25, 82, 253, 766, 2305]
[973, 1948, 3898, 7798, 15598, 31198]
[940, 1884, 3772, 7548, 15100, 30204]
[106, 221, 451, 911, 1831, 3671]
[23, 75, 231, 699, 2103, 6315]
[856, 1714, 3430, 6862, 13726, 27454]
[17, 58, 181, 550, 1657, 4978]
[306, 617, 1239, 2483, 4971, 9947]
[778, 1561, 3127, 6259, 12523, 25051]
[4, 13, 31, 67, 139, 283]
[373, 751, 1507, 3019, 6043, 12091]
[184, 369, 739, 1479, 2959, 5919]
[4, 16, 52, 160, 484, 1456]
[25, 84, 261, 793, 2388, 7173]
[25, 84, 261, 791, 2382, 7155]
[82, 166, 333, 668, 1338, 2678]
[86, 179, 365, 737, 1481, 2969]
[2, 10, 34, 106, 322, 970]
[498, 1002, 2010, 4027, 8060, 16126]
[648, 1299, 2601, 5205, 10413, 20829]
[22, 76, 238, 724, 2182, 6556]
[385, 780, 1570, 3150, 6310, 12630]
[16, 34, 70, 142, 286, 574]
[8, 25, 75, 226, 679, 2038]
[5, 16, 49, 148, 445, 1336]
[410, 823, 1649, 3301, 6605, 13213]
[758, 1524, 3056, 6120, 12248, 24504]
[6, 19, 59, 178, 535, 1606]
[5, 17, 53, 161, 485, 1457]
[10, 34, 106, 322, 970, 2914]
[293, 589, 1180, 2363, 4729, 9461]
[42, 92, 192, 391, 790, 1588]
[673, 1354, 2716, 5440, 10888, 21784]
[30, 69, 148, 305, 619, 1247]
[17, 53, 161, 485, 1457, 4373]
[212, 430, 866, 1738, 3482, 6970]
[8, 28, 88, 268, 808, 2428]
[21, 66, 201, 606, 1821, 5466]
[22, 68, 206, 619, 1859, 5579]
[18, 61, 190, 577, 1738, 5221]
[866, 1735, 3472, 6947, 13897, 27797]
[634, 1278, 2566, 5142, 10294, 20598]
[45, 94, 192, 388, 780, 1564]
[553, 1115, 2239, 4487, 8983, 17975]
[4, 19, 64, 199, 604, 1819]
[22, 74, 231, 701, 2111, 6341]
[3, 17, 59, 186, 566, 1706]
[199, 408, 826, 1662, 3334, 6678]
[25, 76, 230, 690, 2071, 6214]
[1, 12, 45, 144, 441, 1332]
[15, 53, 167, 510, 1538, 4622]
[24, 78, 241, 729, 2193, 6585]
[27, 84, 255, 768, 2307, 6924]
[856, 1716, 3437, 6878, 13760, 27524]
[26, 88, 274, 832, 2506, 7528]
[110, 227, 461, 928, 1863, 3733]
[407, 815, 1631, 3263, 6527, 13055]
[20, 67, 208, 632, 1903, 5716]
[729, 1466, 2940, 5888, 11784, 23576]
[27, 88, 271, 820, 2467, 7408]
[966, 1939, 3885, 7777, 15561, 31129]
[28, 88, 268, 809, 2431, 7297]
[6, 20, 47, 102, 212, 432]
[4, 20, 68, 212, 644, 1940]
[384, 778, 1566, 3142, 6294, 12598]
[21, 65, 197, 593, 1781, 5345]
[851, 1710, 3428, 6864, 13736, 27480]
[14, 44, 134, 404, 1214, 3644]
[10, 38, 122, 374, 1130, 3398]
[784, 1575, 3157, 6321, 12649, 25305]
[7, 25, 79, 241, 727, 2185]
[425, 858, 1724, 3456, 6920, 13848]
[23, 72, 219, 660, 1983, 5952]
[3, 17, 59, 185, 563, 1697]
[7, 31, 103, 319, 967, 2911]
[17, 52, 157, 472, 1417, 4252]
[9, 37, 121, 374, 1132, 3406]
[187, 376, 754, 1510, 3022, 6046]
[3, 19, 67, 211, 643, 1939]
[428, 860, 1724, 3452, 6908, 13820]
[28, 90, 276, 833, 2505, 7521]
[28, 89, 272, 821, 2468, 7409]
[560, 1121, 2243, 4487, 8975, 17951]
[148, 303, 613, 1233, 2473, 4953]
[13, 40, 121, 363, 1090, 3271]
[400, 809, 1627, 3263, 6535, 13079]
[761, 1527, 3059, 6123, 12251, 24507]
[369, 739, 1479, 2959, 5919, 11839]
[929, 1863, 3731, 7466, 14937, 29879]
[1, 13, 49, 157, 481, 1453]
[564, 1137, 2283, 4575, 9159, 18327]
[25, 80, 245, 740, 2225, 6680]
[698, 1400, 2804, 5612, 11228, 22460]
[455, 920, 1850, 3710, 7430, 14870]
[15, 51, 159, 483, 1455, 4371]
[15, 35, 75, 154, 313, 631]
[2, 7, 22, 67, 202, 607]
[260, 526, 1057, 2120, 4246, 8498]
[611, 1227, 2459, 4923, 9851, 19707]
[15, 55, 175, 536, 1618, 4864]
[13, 47, 149, 455, 1373, 4127]
[19, 61, 187, 565, 1699, 5101]
[527, 1059, 2124, 4253, 8511, 17027]
[38, 81, 167, 339, 683, 1371]
[95, 200, 410, 830, 1670, 3350]
[386, 779, 1565, 3137, 6281, 12569]
[2, 15, 54, 171, 522, 1575]
[118, 246, 502, 1014, 2038, 4086]
[465, 937, 1881, 3769, 7545, 15097]
[9, 37, 122, 376, 1138, 3424]
